id,category,carbs,calories,protein,fats,fiber,name,restaurant,alcohol,food_type,quantity,unit,old_quantity,show
3210,Leafy Vegetables,2,15,1,0,0,"New Zealand Spinach,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3211,Other vegetables,7,27,1,0,0,"Okra,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3212,Other vegetables,5,22,2,0,0,"Okrafrozen,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3213,Other vegetables,10,42,1,0,0,"Onions,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3214,Other vegetables,6,23,0,0,0,"Onionsfrozen,Chopd,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3215,Other vegetables,6,24,0,0,0,"Onionsfrozen,Whl,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3216,Other vegetables,19,70,1,0,0,"Parsnips,Cooked,Bld,Drnd,W/Salt","",4,veg,100,gm,100,t
3217,Other vegetables,7,32,3,0,0,"Peas,Edible-Podded,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3218,Other vegetables,9,41,3,0,0,"Peas,Edible-Poddedfrozen,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3219,Other vegetables,15,63,5,0,0,"Peas,Grn,Cooked,Bld,Drnd,W/Salt","",5,veg,100,gm,100,t
3220,Other vegetables,9,41,3,0,0,"Peas,Grn,Canned,No Salt,Sol&Liquids","",3,veg,100,gm,100,t
3221,Other vegetables,12,54,4,0,0,"Peas,Grn,Canned,No Salt,Drnd Sol","",4,veg,100,gm,100,t
3222,Other vegetables,14,58,5,0,0,"Peas,Grnfrozen,Cooked,Bld,Drnd,W/Salt","",5,veg,100,gm,100,t
3223,Other vegetables,21,120,7,0,0,"Peas,Mature Seeds,Sprouted,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3224,Other vegetables,8,31,2,0,0,"Peas&Carrots,Canned,No Salt,Sol&Liquids","",3,veg,100,gm,100,t
3225,Other vegetables,10,44,3,0,0,"Peas&Carrotsfrozen,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3226,Other vegetables,8,37,2,0,0,"Peas&Onionsfrozen,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3227,Other vegetables,9,41,2,0,0,"Peppers,Hot Chili,Red,Raw","",1,veg,100,gm,100,t
3228,Other vegetables,5,19,0,0,0,"Peppers,Hot Chili,Red,Canned,Excluding Seeds,Sol&Liquids","",1,veg,100,gm,100,t
3229,Other vegetables,6,22,0,0,0,"Peppers,Sweet,Red,Raw","",2,veg,100,gm,100,t
3230,Other vegetables,6,27,0,0,0,"Peppers,Swt,Grn,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3231,Other vegetables,6,27,0,0,0,"Peppers,Swt,Red,Cooked,Bld,Drnd,Wo/Salt","",1,veg,100,gm,100,t
3232,Other vegetables,6,27,0,0,0,"Peppers,Swt,Red,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3233,Other vegetables,3,21,0,0,0,"Peppers,Swt,Grnfrozen,Chopd,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3234,Other vegetables,19,89,5,1,0,"Pigeonpeas,Immat Seeds,Cooked,Bld,Drnd,W/Salt","",6,veg,100,gm,100,t
3235,Other vegetables,3,19,2,0,0,"Pokeby Shoots,(Poke),Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3236,Other vegetables,25,101,2,0,0,"Potatoes,Bkd,Flesh&Skin,W/Salt","",2,veg,100,gm,100,t
3237,Other vegetables,21,88,1,0,0,"Potatoes,Bkd,Flesh,W/Salt","",1,veg,100,gm,100,t
3238,Other vegetables,46,170,4,0,0,"Potatoes,Bkd,Skn,W/Salt","",7,veg,100,gm,100,t
3239,Other vegetables,20,80,1,0,0,"Potatoes,Bld,Cooked In Skn,Flesh,W/Salt","",2,veg,100,gm,100,t
3240,Other vegetables,17,67,2,0,0,"Potatoes,Bld,Cooked In Skn,Skn,W/Salt","",3,veg,100,gm,100,t
3241,Other vegetables,20,79,1,0,0,"Potatoes,Bld,Cooked Wo/Skn,Flesh,W/Salt","",2,veg,100,gm,100,t
3242,Other vegetables,24,97,2,0,0,"Potatoes,Microwaved,Cooked,In Skn,Flesh&Skin,W/Salt","",2,veg,100,gm,100,t
3243,Other vegetables,23,96,2,0,0,"Potatoes,Microwaved,Cooked In Skn,Flesh,W/Salt","",1,veg,100,gm,100,t
3244,Other vegetables,29,114,4,0,0,"Potatoes,Microwaved,Cooked,In Skn,Skn W/Salt","",5,veg,100,gm,100,t
3245,Other vegetables,14,61,1,0,0,"Potatoesfrozen,Whl,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3246,Other vegetables,31,192,3,7,0,"Potatoes,French Frfrozen,Home-Prepared,Htd In Oven,W/Salt","",3,veg,100,gm,100,t
3247,Other vegetables,34,210,3,8,0,"Potatoesfrozen,Frch Fr,Par Fr,Cttge-Cut,Prep,Htd Oven,W/Salt","",3,veg,100,gm,100,t
3248,Other vegetables,11,126,5,7,0,"Potatoes,Au Gratin,Home-Prepared From Recipe Using Margarine","",1,veg,100,gm,100,t
3249,Other vegetables,10,80,2,3,0,"Potatoes,Scallpd,Home-Prepared W/Margarine","",1,veg,100,gm,100,t
3250,Other vegetables,4,18,0,0,0,"Pumpkin,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3251,Other vegetables,8,27,1,0,0,"Pumpkin,Canned,With Salt","",2,veg,100,gm,100,t
3252,Other vegetables,3,14,1,0,0,"Pumpkin,Flowers,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3253,Other vegetables,3,15,2,0,0,"Pumpkin,Leaves,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3254,Other vegetables,3,21,1,0,0,"Purslane,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3255,Other vegetables,3,12,0,0,0,"Radishes,Oriental,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3256,Other vegetables,8,42,1,0,0,"Rutabagas,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3257,Other vegetables,15,61,2,0,0,"Salsify,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3258,Other vegetables,11,134,12,6,0,"Soybeans,Grn,Cooked,Bld,Drnd,W/Salt","",4,veg,100,gm,100,t
3259,Other vegetables,3,19,2,0,0,"Spinach,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3260,Other vegetables,2,14,2,0,0,"Spinach,Canned,No Salt,Sol&Liquids","",2,veg,100,gm,100,t
3261,Other vegetables,5,23,3,0,0,"Spinachfrozen,Chopd Or Leaf,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3262,Other vegetables,4,18,0,0,0,"Squash,Smmr,All Var,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3263,Other vegetables,4,18,0,0,0,"Squash,Smmr,Crookneck&Straightneck,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3264,Other vegetables,5,23,1,0,0,"Squash,Smmr,Crookneck&Straightneckfrozen,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3265,Other vegetables,3,11,1,0,0,"Squash,Smmr,Scallop,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3266,Other vegetables,3,13,0,0,0,"Squash,Smmr,Zucchini,Incl Skn,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3267,Other vegetables,3,14,1,0,0,"Squash,Smmr,Zucchini,Incl Sknfrozen,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3268,Other vegetables,8,33,0,0,0,"Squash,Wntr,All Var,Cooked,Bkd,W/Salt","",2,veg,100,gm,100,t
3269,Other vegetables,14,46,1,0,0,"Squash,Wntr,Acorn,Cooked,Bkd,W/Salt","",4,veg,100,gm,100,t
3270,Other vegetables,8,28,0,0,0,"Squash,Wntr,Acorn,Cooked,Bld,Mshd,W/Salt","",2,veg,100,gm,100,t
3271,Other vegetables,10,46,0,0,0,"Squash,Wntr,Butternut,Cooked,Bkd,W/Salt","",0,veg,100,gm,100,t
3272,Other vegetables,10,45,1,0,0,"Squash,Wntr,Butternutfrozen,Cooked,Bld,W/Salt","",0,veg,100,gm,100,t
3273,Other vegetables,10,58,2,0,0,"Squash,Wntr,Hubbard,Cooked,Bkd,W/Salt","",0,veg,100,gm,100,t
3274,Other vegetables,6,23,1,0,0,"Squash,Wntr,Hubbard,Cooked,Bld,Mshd,W/Salt","",2,veg,100,gm,100,t
3275,Other vegetables,6,25,0,0,0,"Squash,Wntr,Spaghetti,Cooked,Bld,Drnd,Or Bkd,W/Salt","",1,veg,100,gm,100,t
3276,Other vegetables,24,125,5,0,0,"Succotash,(Corn&Limas),Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3277,Other vegetables,19,88,4,0,0,"Succotash,(Corn&Limas)Frozen,Cooked,Bld,Drnd,W/Salt","",4,veg,100,gm,100,t
3278,Other vegetables,3,17,2,0,0,"Swamp Cabbage,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3279,Other vegetables,7,33,2,0,0,"Sweetpotato Leaves,Cooked,Stmd,W/Salt","",1,veg,100,gm,100,t
3280,Other vegetables,24,92,1,0,0,"Sweetpotato,Cooked,Bkd In Skn,W/Salt","",3,veg,100,gm,100,t
3281,Other vegetables,24,99,1,0,0,"Sweetpotato,Cooked,Bld,Wo/Skn,W/Salt","",1,veg,100,gm,100,t
